Time,CwndBytes
19.0121,16804
19.0435,16928
19.0616,17051
19.0736,17173
19.0976,17295
19.1096,17416
19.141,17536
19.159,17655
19.1711,17773
19.1951,17890
19.2071,18007
19.2191,18123
19.2445,18238
19.2625,18352
19.2746,18466
19.2986,18579
19.3106,18691
19.3226,18803
19.348,18914
19.366,19024
19.3781,19134
19.4021,19243
19.4141,19351
19.4261,19459
19.4515,19566
19.4635,19673
19.4755,19779
19.4996,19885
19.5116,19990
19.5236,20094
19.549,20198
19.561,20301
19.573,20404
19.5971,20506
19.6091,20608
19.6211,20709
19.6464,20810
19.6585,20910
19.6705,21010
19.6825,21109
19.7006,21208
19.7126,21306
19.7246,21404
19.7499,21501
19.762,21598
19.774,21695
19.786,21791
19.8041,21887
19.8161,21982
19.8281,22077
19.8534,22171
19.8655,22265
19.8896,20272
19.951,18100
19.957,17376
19.9631,16652
19.9691,15928
19.9751,15204
19.9811,14480
19.9871,13756
19.9931,13032
19.9991,12308
20.0051,11584
20.0111,10860
20.0232,9412
20.0545,9634
20.0786,9851
20.1026,10063
20.152,10271
20.1821,10475
20.2061,10675
20.2555,10871
20.2796,11063
20.3036,11252
20.353,11438
20.3771,11621
20.4011,11801
20.4505,11978
20.4746,12153
20.4866,12325
20.5046,12495
20.554,12662
20.5781,12827
20.5901,12990
20.6081,13151
20.6575,13310
20.6816,13467
20.6936,13622
20.7116,13775
20.7549,13927
20.7791,14077
20.7911,14225
20.8091,14372
20.8524,14517
20.8765,14661
20.8886,14804
20.9065,14945
20.9499,15085
20.9619,15223
20.98,15360
20.9921,15496
21.01,15631
21.0534,15765
21.0654,15897
21.0835,16028
21.0956,16158
21.1135,16287
21.1569,16415
21.1689,16542
21.187,16668
21.1991,16793
21.2111,16917
21.2544,17040
21.2664,17163
21.2845,17285
21.2965,17406
21.3579,15928
21.3941,15204
21.4001,14480
21.4061,13756
21.4121,13032
21.4181,12308
21.4495,11584
21.4554,7240
21.4554,7529
21.4674,7807
21.4855,8075
21.5096,8334
21.583,8585
21.6071,8829
21.6805,9066
21.7046,9297
21.7166,9522
21.784,9742
21.8081,9957
21.8201,10167
21.8875,10373
21.9116,10575
21.9236,10773
21.985,10967
22.0091,11158
22.0211,11345
22.0825,11529
22.1066,11710
22.1186,11889
22.18,12065
22.2041,12238
22.2161,12409
22.2281,12577
22.3136,10136
22.3316,9412
22.3991,8688
22.4051,7964
22.4111,7240
22.4171,4344
22.4171,4826
22.4291,5260
22.5086,5658
22.6061,6028
22.7036,6375
22.7156,6703
22.8071,7015
22.8191,7313
22.9226,6275
22.9287,6758
23.0082,6275
23.0142,5792
23.0201,2896
23.0201,3620
23.1056,4199
23.2031,4698
23.3066,5144
23.4041,5551
23.5016,5928
23.5991,6281
23.6111,6614
23.7026,6931
23.7146,7233
23.8061,7522
23.8181,7800
23.9096,8068
23.9216,8327
24.0071,8578
24.0191,8822
24.1046,9059
24.1166,9290
24.1286,9515
24.2081,9735
24.3056,7240
24.3236,6516
24.3297,5792
24.3357,5068
24.4031,2896
24.4031,3620
24.4271,4199
24.5306,4698
24.6341,5144
24.7316,5551
24.8291,5928
24.9266,6281
24.9386,6614
25.0301,6931
25.0421,7233
25.1336,7522
25.1456,7800
25.2371,8068
25.2491,8327
25.3346,8578
25.3466,8822
25.4321,9059
25.4441,9290
25.4561,9515
25.5356,9735
25.5476,9950
25.5596,10160
25.6391,10366
25.6511,10568
25.6631,10766
25.7366,10960
25.7486,11151
25.7606,11339
25.834,11523
25.8461,11704
25.8581,11883
25.9315,12059
25.9435,12232
25.9556,12403
25.9676,12572
26.035,12738
26.047,12902
26.0591,13064
26.0711,13224
26.1385,13382
26.1505,13538
26.1626,13692
26.1746,13845
26.236,13996
26.248,14145
26.26,14293
26.2721,14439
26.3335,14584
26.3455,14727
26.3575,14869
26.3696,15010
26.431,15149
26.443,15287
26.455,15424
26.467,15559
26.4791,15693
26.5345,15826
26.5465,15958
26.5585,16089
26.5705,16219
26.5826,16348
26.638,16476
26.65,16603
26.662,16729
26.674,16854
26.6861,16978
26.7355,17101
26.7475,17223
26.7595,17344
26.7715,17464
26.7835,17584
26.833,17703
26.845,17821
26.857,17938
26.869,18054
26.881,18170
26.893,18285
26.9365,18399
26.9485,18512
26.9605,18625
26.9725,18737
26.9845,18848
26.9965,18959
27.04,19069
27.052,19178
27.064,19287
27.076,19395
