Time,CwndBytes
44.0869,28510
44.0989,28583
44.1109,28656
44.135,27512
44.141,28960
44.2431,29032
44.2551,29104
44.2671,29176
44.2792,29247
44.2912,29318
44.3032,29389
44.3152,29460
44.3272,29531
44.3392,29602
44.3513,29672
44.3633,29742
44.3753,29812
44.3873,29882
44.3993,29952
44.4113,30022
44.4234,30091
44.4354,30160
44.4474,30229
44.4594,30298
44.4714,30367
44.4834,30436
44.4954,30504
44.5075,30572
44.5195,30640
44.5315,30708
44.5435,30776
44.5555,30844
44.5675,30911
44.5796,30978
44.5916,31045
44.6036,31112
44.6156,31179
44.6276,31246
44.6396,31313
44.6517,31379
44.6637,31445
44.6757,31511
44.6877,31577
44.6997,31643
44.7117,31709
44.7238,31775
44.7358,31840
44.7478,31905
44.7598,31970
44.7718,32035
44.7838,32100
44.7958,32165
44.8079,32230
44.8199,32295
44.8319,32359
44.8439,32423
44.8559,32487
44.8679,32551
44.88,32615
44.892,32679
44.904,32743
44.916,32807
44.928,32870
44.94,32933
44.9521,32996
44.9641,33059
44.9761,33122
44.9881,33185
45.0001,33248
45.0121,33311
45.0242,33373
45.0362,33435
45.0482,33497
45.0602,33559
45.0722,33621
45.0842,33683
45.0962,33745
45.1083,33807
45.1203,33869
45.1323,33930
45.1443,33991
45.1563,34052
45.1683,34113
45.1804,34174
45.1924,34235
45.2044,34296
45.2164,34357
45.2284,34418
45.2404,34478
45.2525,34538
45.2645,34598
45.2765,34658
45.2885,34718
45.3005,34778
45.3125,34838
45.3246,34898
45.3366,34958
45.3486,35017
45.3606,35076
45.3726,35135
45.3846,35194
45.3966,35253
45.4087,35312
45.4207,35371
45.4327,35430
45.4447,35489
45.4567,35548
45.4687,35606
45.4808,35664
45.4928,35722
45.5048,35780
45.5168,35838
45.5288,35896
45.5529,34226
45.5589,35147
45.5649,36069
45.5709,36990
45.5769,37912
45.5829,38833
45.5889,39755
45.5949,40676
45.601,41598
45.607,42519
45.613,43440
45.619,43177
45.625,42914
45.631,42651
45.637,42387
45.643,42124
45.649,41861
45.655,41598
45.661,41334
45.667,41071
45.6731,40808
45.6791,40544
45.6851,40281
45.691,26064
45.691,26144
45.7031,26224
45.7151,26303
45.7271,26382
45.7391,26461
45.7511,26540
45.7631,26619
45.7752,26697
45.7872,26775
45.7992,26853
45.8233,26064
45.8293,27512
45.8353,28960
45.8413,30408
45.8473,31856
45.9254,31921
45.9374,31986
45.9494,32051
45.9614,32116
45.9734,32181
45.9854,32246
45.9974,32311
46.0095,32375
46.0215,32439
46.0335,32503
46.0455,32567
46.0575,32631
46.0695,32695
46.0816,32759
46.0936,32823
46.1056,32886
46.1176,32949
46.1296,33012
46.1416,33075
46.1537,33138
46.1657,33201
46.1777,33264
46.1897,33327
46.2017,33389
46.2137,33451
46.2258,33513
46.2378,33575
46.2498,33637
46.2618,33699
46.2738,33761
46.2858,33823
46.2978,33884
46.3099,33945
46.3219,34006
46.3339,34067
46.3459,34128
46.3579,34189
46.3699,34250
46.382,34311
46.394,34372
46.406,34433
46.418,34493
46.43,34553
46.442,34613
46.4541,34673
46.4661,34733
46.4781,34793
46.4901,34853
46.5021,34913
46.5141,34973
46.5262,35032
46.5382,35091
46.5502,35150
46.5622,35209
46.5742,35268
46.6043,34358
46.6103,35411
46.6163,36464
46.6223,37517
46.6283,38570
46.6343,39623
46.6403,40676
46.6463,41729
46.6524,42782
46.6584,43835
46.6644,44888
46.6704,44691
46.6764,44494
46.6824,44296
46.6884,44099
46.6944,43901
46.7004,43704
46.7125,43506
46.7185,43309
46.7245,41663
46.7305,41466
46.7425,41268
46.7485,41071
46.7545,40874
46.7605,39228
46.7665,39031
46.7726,38833
46.7786,38636
46.7846,38438
46.7906,38241
46.7966,38043
46.8026,37846
46.8086,37648
46.8146,37451
46.8206,37254
46.8266,37056
46.8326,36859
46.8386,36661
46.8447,36464
46.8507,36266
46.8567,36069
46.8627,35871
46.8687,35674
46.8747,35476
46.8807,35279
46.8867,35082
46.8927,34884
46.8987,34687
46.9047,34489
46.9107,34292
46.9167,34094
46.9227,27512
46.9227,27588
46.9347,27664
46.9467,27739
46.9587,27814
46.9707,27889
46.9828,27964
46.9948,28038
47.0068,28112
47.0188,28186
47.0308,28260
47.0428,28334
47.0549,28407
47.0669,28480
47.0789,28553
47.0909,28626
47.1029,28699
47.127,27512
47.133,28960
47.139,30408
47.145,31856
47.151,33304
47.2351,33366
47.2471,33428
47.2591,33490
47.2711,33552
47.2832,33614
47.2952,33676
47.3192,33304
47.3253,34752
47.4514,34812
47.4634,34872
47.4754,34932
47.4874,34992
47.4994,35051
47.5115,35110
47.5235,35169
47.5355,35228
47.5475,35287
47.5595,35346
47.5715,35405
47.5836,35464
47.5956,35523
47.6076,35582
47.6196,35640
47.6316,35698
47.6436,35756
47.6557,35814
47.6677,35872
47.6797,35930
47.6917,35988
47.7037,36046
47.7157,36104
47.7278,36162
47.7398,36219
47.7518,36276
47.7638,36333
47.7758,36390
47.7878,36447
47.7998,36504
47.8119,36561
47.8239,36618
47.854,34752
47.86,33304
47.9981,33366
48.0101,33428
48.0221,33490
48.0342,33552
48.0462,33614
48.0582,33676
48.0702,33738
48.0822,33800
48.0942,33862
48.1063,33923
48.1183,33984
48.1303,34045
48.1423,34106
48.1543,34167
48.1663,34228
48.1784,34289
48.1904,34350
48.2024,34411
48.2144,34471
48.2264,34531
48.2384,34591
48.2504,34651
48.2625,34711
48.2745,34771
48.2865,34831
48.2985,34891
48.3105,34951
48.3225,35010
48.3346,35069
48.3466,35128
48.3586,35187
48.3706,35246
48.3826,35305
48.3946,35364
48.4067,35423
48.4187,35482
48.4307,35541
48.4427,35599
48.4547,35657
