Time,CwndBytes
26.5919,37349
26.6039,37405
26.6159,37461
26.6279,37516
26.6399,37571
26.652,37626
26.664,37681
26.676,37736
26.7001,37407
26.7061,38614
26.7121,39820
26.7181,41027
26.7241,42234
26.7301,43440
26.7361,44647
26.7421,45854
26.7481,47060
26.7541,48267
26.7601,49474
26.7662,50680
26.7722,50560
26.7782,50439
26.7842,50318
26.7902,50198
26.7962,50077
26.8022,49956
26.8082,49836
26.8142,49715
26.8202,49594
26.8262,49474
26.8322,49353
26.8382,49232
26.8443,49112
26.8502,31856
26.8502,31921
26.8622,31986
26.8743,32051
26.8863,32116
26.8983,32181
26.9103,32246
26.9223,32311
26.9343,32375
26.9464,32439
26.9584,32503
26.9704,32567
26.9824,32631
26.9944,32695
27.0064,32759
27.0185,32823
27.0305,32886
27.0425,32949
27.0545,33012
27.0665,33075
27.0785,33138
27.0905,33201
27.1026,33264
27.1146,33327
27.1266,33389
27.1386,33451
27.1506,33513
27.1626,33575
27.1747,33637
27.1867,33699
27.1987,33761
27.2107,33823
27.2227,33884
27.2347,33945
27.2468,34006
27.2588,34067
27.2708,34128
27.2828,34189
27.2948,34250
27.3068,34311
27.3189,34372
27.3309,34433
27.3429,34493
27.3549,34553
27.3669,34613
27.3789,34673
27.3909,34733
27.403,34793
27.415,34853
27.427,34913
27.439,34973
27.451,35032
27.463,35091
27.4751,35150
27.4871,35209
27.5111,34621
27.5172,35937
27.5232,37254
27.5292,38570
27.5352,39886
27.5412,41203
27.5472,42519
27.5532,43835
27.5592,45152
27.5652,46468
27.5712,47784
27.5772,47719
27.5832,47653
27.5892,47587
27.5953,47521
27.6013,47455
27.6073,47390
27.6133,47324
27.6193,47258
27.6253,47192
27.6313,47126
27.6373,47060
27.6433,46995
27.6493,30408
27.6493,30476
27.6613,30544
27.6733,30612
27.6853,30680
27.6974,30748
27.7094,30816
27.7214,30884
27.7334,30951
27.7454,31018
27.7574,31085
27.7695,31152
27.7815,31219
27.7935,31286
27.8055,31353
27.8175,31419
27.8295,31485
27.8415,31551
27.8536,31617
27.8656,31683
27.8776,31749
27.8896,31815
27.9016,31880
27.9136,31945
27.9257,32010
27.9377,32075
27.9497,32140
27.9617,32205
27.9737,32270
27.9857,32334
27.9978,32398
28.0098,32462
28.0218,32526
28.0338,32590
28.0458,32654
28.0578,32718
28.0699,32782
28.0819,32845
28.0939,32908
28.1059,32971
28.1179,33034
28.1299,33097
28.1419,33160
28.154,33223
28.166,33286
28.178,33348
28.19,33410
28.202,33472
28.214,33534
28.2261,33596
28.2381,33658
28.2501,33720
28.2621,33782
28.2741,33844
28.2861,33905
28.2982,33966
28.3102,34027
28.3222,34088
28.3342,34149
28.3462,34210
28.3582,34271
28.3703,34332
28.3823,34393
28.3943,34453
28.4063,34513
28.4183,34573
28.4303,34633
28.4423,34693
28.4544,34753
28.4664,34813
28.4784,34873
28.4904,34933
28.5024,34993
28.5144,35052
28.5265,35111
28.5385,35170
28.5505,35229
28.5625,35288
28.5745,35347
28.5865,35406
28.5986,35465
28.6106,35524
28.6226,35583
28.6346,35641
28.6466,35699
28.6586,35757
28.6707,35815
28.6827,35873
28.6947,35931
28.7067,35989
28.7187,36047
28.7307,36105
28.7427,36163
28.7548,36220
28.7668,36277
28.7788,36334
28.7908,36391
28.8028,36448
28.8148,36505
28.8269,36562
28.8389,36619
28.8509,36676
28.8629,36733
28.8749,36790
28.8869,36846
28.899,36902
28.911,36958
28.923,37014
28.935,37070
28.947,37126
28.959,37182
28.9711,37238
28.9831,37294
28.9951,37350
29.0071,37406
29.0191,37462
29.0311,37517
29.0431,37572
29.0552,37627
29.0672,37682
29.0792,37737
29.0912,37792
29.1032,37847
29.1152,37902
29.1273,37957
29.1393,38012
29.1513,38067
29.1633,38122
29.1753,38176
29.1873,38230
29.1994,38284
29.2114,38338
29.2234,38392
29.2354,38446
29.2474,38500
29.2594,38554
29.2715,38608
29.2835,38662
29.2955,38716
29.3075,38770
29.3195,38824
29.3315,38878
29.3435,38931
29.3556,38984
29.3676,39037
29.3796,39090
29.3916,39143
29.4036,39196
29.4156,39249
29.4277,39302
29.4397,39355
29.4517,39408
29.4637,39461
29.4757,39514
29.4877,39567
29.4998,39619
29.5118,39671
29.5238,39723
29.5358,39775
29.5478,39827
29.5598,39879
29.5719,39931
29.5839,39983
29.5959,40035
29.6079,40087
29.6199,40139
29.6319,40191
29.6439,40243
29.656,40295
29.668,40347
29.68,40398
29.692,40449
29.704,40500
29.716,40551
29.7281,40602
29.7401,40653
29.7521,40704
29.7641,40755
29.7761,40806
29.7881,40857
29.8122,39653
29.8182,40210
29.8242,40767
29.8302,41324
29.8362,41881
29.8422,42438
29.8483,42995
29.8543,43552
29.8603,44109
29.8663,44666
29.8723,45223
29.8783,45780
29.8843,46336
29.8903,45891
29.8963,45445
29.9023,45000
29.9083,44554
29.9143,44109
29.9204,43663
29.9264,43218
29.9324,42772
29.9384,42327
29.9444,41881
29.9504,41436
29.9564,40990
29.9624,40544
29.9684,40099
29.9744,26064
29.9744,26144
29.9864,26224
29.9984,26303
30.0104,26382
30.0225,26461
30.0345,26540
30.0465,26619
30.0585,26697
30.0705,26775
30.0825,26853
30.0945,26931
30.1066,27008
30.1186,27085
30.1306,27162
30.1426,27239
30.1546,27315
30.1666,27391
30.1787,27467
30.1907,27543
30.2027,27619
30.2147,27694
30.2267,27769
30.2387,27844
30.2508,27919
30.2748,27512
30.2808,28960
30.2868,30408
30.2928,31856
30.3829,31921
30.3949,31986
30.407,32051
30.419,32116
30.431,32181
30.443,32246
30.455,32311
30.467,32375
30.4791,32439
30.4911,32503
30.5031,32567
30.5151,32631
30.5271,32695
30.5391,32759
30.5512,32823
30.5632,32886
30.5752,32949
30.5872,33012
30.5992,33075
30.6112,33138
30.6233,33201
30.6353,33264
30.6473,33327
30.6593,33389
30.6713,33451
30.6833,33513
30.6953,33575
30.7074,33637
30.7194,33699
30.7314,33761
30.7434,33823
30.7554,33884
30.7674,33945
30.7795,34006
30.7915,34067
30.8035,34128
30.8155,34189
30.8275,34250
30.8395,34311
30.8516,34372
30.8636,34433
30.8756,34493
30.8876,34553
30.8996,34613
30.9116,34673
30.9237,34733
30.9357,34793
30.9477,34853
30.9597,34913
30.9717,34973
30.9837,35032
30.9957,35091
31.0078,35150
31.0198,35209
31.0318,35268
31.0438,35327
31.0558,35386
31.0678,35445
31.0799,35504
31.0919,35563
31.1039,35621
31.1159,35679
31.1279,35737
31.1399,35795
31.152,35853
31.164,35911
31.176,35969
31.188,36027
31.2,36085
31.212,36143
31.2241,36201
31.2361,36258
31.2481,36315
31.2601,36372
31.2721,36429
31.2841,36486
31.2961,36543
31.3082,36600
31.3202,36657
31.3322,36714
31.3442,36771
31.3562,36828
31.3682,36884
31.3803,36940
31.3923,36996
31.4043,37052
31.4163,37108
31.4283,37164
31.4403,37220
31.4704,35697
31.4764,36641
31.4824,37586
31.4884,38530
31.4944,39474
31.5005,40419
31.5065,41363
31.5125,42307
31.5185,43252
31.5245,44196
31.5305,45140
31.5365,46085
31.5425,45833
31.5485,45581
31.5545,45329
31.5605,45077
31.5665,44826
31.5726,44574
31.5786,44322
31.5846,44070
31.5906,43818
31.5966,43566
31.6026,43315
31.6086,43063
31.6146,27512
31.6146,27588
31.6266,27664
31.6386,27739
31.6506,27814
31.6626,27889
31.6747,27964
31.6867,28038
31.6987,28112
31.7107,28186
31.7227,28260
31.7347,28334
31.7467,28407
31.7588,28480
31.7708,28553
31.7828,28626
31.7948,28699
31.8068,28772
31.8188,28844
31.8309,28916
31.8429,28988
31.8549,29060
31.8669,29132
31.8789,29203
31.8909,29274
31.903,29345
31.915,29416
31.927,29487
31.939,29558
31.951,29628
31.963,29698
31.9751,29768
31.9871,29838
31.9991,29908
32.0111,29978
32.0231,30047
32.0351,30116
32.0471,30185
32.0592,30254
32.0712,30323
32.0832,30392
32.0952,30460
32.1072,30528
32.1192,30596
32.1313,30664
32.1433,30732
32.1553,30800
32.1673,30868
32.1793,30935
32.1913,31002
32.2034,31069
32.2154,31136
32.2274,31203
32.2394,31270
32.2514,31337
32.2634,31403
32.2755,31469
32.2875,31535
32.2995,31601
32.3115,31667
32.3235,31733
32.3355,31799
32.3475,31864
32.3596,31929
32.3716,31994
32.3836,32059
32.3956,32124
32.4076,32189
32.4196,32254
32.4317,32319
32.4437,32383
32.4557,32447
32.4677,32511
32.4797,32575
32.4917,32639
32.5038,32703
32.5158,32767
32.5278,32830
32.5398,32893
32.5518,32956
32.5638,33019
32.5759,33082
32.5879,33145
32.5999,33208
32.6119,33271
32.6239,33334
32.6359,33396
32.6479,33458
32.66,33520
32.672,33582
32.684,33644
32.696,33706
32.708,33768
32.72,33830
32.7321,33891
32.7441,33952
32.7561,34013
32.7681,34074
32.7801,34135
32.7921,34196
32.8042,34257
32.8162,34318
32.8282,34379
32.8402,34439
32.8522,34499
32.8763,33029
32.8823,34201
32.8883,35373
32.8943,36545
32.9003,37717
32.9063,38890
32.9123,40062
32.9183,41234
32.9244,42406
32.9304,43578
32.9364,44751
32.9484,44613
32.9605,44475
32.9665,42889
32.9725,41303
32.9785,41165
32.9845,41027
32.9905,40889
32.9965,40751
33.0025,40613
33.0085,40476
33.0206,40338
33.0266,40200
33.0326,38614
33.0386,38476
33.0446,38338
33.0506,38200
33.0566,38062
33.0626,37924
33.0686,37786
33.0746,37648
33.0806,37511
33.0866,37373
33.0927,37235
33.0987,37097
33.1047,36959
33.1107,36821
33.1167,36683
33.1227,36545
33.1287,36407
33.1347,36269
33.1406,27512
33.1406,27588
33.1466,35571
33.1527,34941
33.1587,35760
33.1647,36578
33.1707,37397
33.1767,38215
33.1827,39034
33.1887,38719
33.2007,38089
33.2127,37460
33.2247,36830
33.2367,36200
33.2487,35571
33.2608,35256
33.2668,34941
33.2728,33179
33.2788,32864
33.2848,32549
33.2968,32234
33.3029,31919
33.3089,31605
33.3149,31290
33.3209,30975
33.3269,30660
33.3329,30346
33.3389,30031
33.3449,29716
33.3509,29401
33.3569,29086
33.3629,28772
33.3689,26064
33.417,26144
33.429,26224
33.441,26303
33.453,26382
33.465,26461
33.4771,26540
33.4891,26619
33.5011,26697
33.5131,26775
33.5251,26853
33.5371,26931
33.5491,27008
33.5612,27085
33.5732,27162
33.5852,27239
33.5972,27315
33.6092,27391
33.6212,27467
33.6333,27543
33.6453,27619
33.6754,27512
33.6814,28960
33.6874,30408
33.6934,31856
34.6453,1448
35.0407,2896
35.1442,4344
35.2477,5792
35.3452,7240
35.3572,8688
35.4487,10136
35.4607,11584
35.4728,13032
35.5522,14480
35.5642,15928
35.5763,17376
35.5883,18824
35.6497,20272
35.6617,21720
35.6737,23168
35.6858,24616
35.6978,26064
35.7098,27512
35.7098,27588
35.7472,27664
35.7592,27739
35.7712,27814
35.7832,27889
35.7953,27964
35.8073,28038
35.8193,28112
35.8313,28186
35.8433,28260
35.8553,28334
35.8674,28407
35.8794,28480
35.8914,28553
35.9034,28626
35.9154,28699
35.9274,28772
35.9395,28844
35.9515,28916
35.9635,28988
35.9755,29060
35.9875,29132
36.0176,27673
36.0236,27834
36.0296,27995
36.0356,28156
36.0416,28317
36.0476,28478
36.0536,28639
36.0597,28800
36.0657,28960
36.0717,28317
36.0777,27673
36.0837,27030
36.0897,26386
36.0957,25743
36.1017,25099
36.1077,24456
36.1137,23812
36.1197,23168
36.1257,22525
36.1317,14480
36.1317,14624
36.1437,14767
36.1557,14908
36.1678,15048
36.1798,15187
36.1918,15325
36.2038,15461
36.2172,15596
36.2713,15730
36.2833,15863
36.2953,15995
36.3073,16126
36.3207,16256
36.3748,16384
36.3868,16511
36.3988,16637
36.4108,16763
36.4228,16888
36.4722,17012
36.4843,17135
36.4963,17257
36.5083,17378
36.5203,17498
36.5697,17617
36.5817,17736
36.5938,17854
36.6058,17971
36.6178,18087
36.6298,18202
36.6732,18317
36.6852,18431
36.6973,18544
36.7093,18657
36.7213,18769
36.7333,18880
36.7767,18991
36.7887,19101
36.8008,19210
36.8128,19319
36.8248,19427
36.8368,19534
36.8742,19641
36.8862,19747
36.8982,19853
36.9103,19958
36.9223,20063
36.9343,20167
36.9717,20270
36.9837,20373
36.9957,20475
37.0078,20577
37.0198,20678
37.0318,20779
37.0692,20879
37.0812,20979
37.0932,21078
37.1052,21177
37.1173,21276
37.1293,21374
37.1413,21472
37.1727,21569
37.1847,21666
37.1967,21762
37.2087,21858
37.2208,21953
37.2328,22048
37.2448,22143
37.2762,22237
37.2882,22331
37.3002,22424
37.3122,22517
37.3242,22610
37.3363,22702
37.3483,22794
37.3737,22885
37.3857,22976
37.3977,23067
37.4097,23157
37.4217,23247
37.4338,23337
37.4458,23426
37.4712,23515
37.4832,23604
37.4952,23692
37.5072,23780
37.5192,23868
37.5312,23955
37.5433,24042
37.5553,24129
37.5747,24215
37.5867,24301
37.5987,24387
37.6107,24472
37.6227,24557
37.6347,24642
37.6468,24727
37.6588,24811
37.6782,24895
37.6902,24979
37.7022,25062
37.7142,25145
37.7262,25228
37.7382,25311
37.7503,25393
37.7623,25475
37.7756,25557
37.7877,25639
37.7997,25720
37.8117,25801
37.8237,25882
37.8357,25963
37.8477,26043
37.8598,26123
37.8731,26203
37.8852,26283
37.8972,26362
37.9092,26441
37.9212,26520
37.9332,26599
37.9452,26677
37.9572,26755
37.9693,26833
37.9813,26911
37.9933,26988
38.0053,27065
38.0173,27142
38.0293,27219
38.0414,27296
38.0534,27372
38.0654,27448
38.0774,27524
38.0894,27600
38.1014,27675
38.1135,27750
38.1255,27825
38.1375,27900
38.1495,27975
38.1615,28049
38.1735,28123
38.1856,28197
38.1976,28271
38.2096,28345
